Typ gracza,Pieniądze na wstępie,Lekkomyślność,Rozrzutność,Minimalna oczekiwana ręka,Wynik_pieniężny_gra_1,Wynik_pieniężny_gra_2,Wynik_pieniężny_gra_3,Wynik_pieniężny_gra_4,Wynik_pieniężny_gra_5,Wynik_pieniężny_gra_6,Wynik_pieniężny_gra_7,Wynik_pieniężny_gra_8,Wynik_pieniężny_gra_9,Wynik_pieniężny_gra_10
AveragePlayer,500,0.5,0.9,One pair,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Two pair,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Two pair,50,25,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Straight,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Straight,50,25,25,25,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Flush,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Flush,450,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Flush,250,138,88,38,13,13,13,13,13,0
AveragePlayer,500,0.5,0.9,Full house,262,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Full house,225,97,47,47,47,47,0,0,0,0
AveragePlayer,500,0.5,0.9,Full house,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Four-of-a-Kind,275,152,102,52,52,2,2,0,0,0
AveragePlayer,500,0.5,0.9,Four-of-a-Kind,450,400,40,40,40,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Four-of-a-Kind,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Straight flush,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,Straight flush,350,225,124,74,49,49,49,24,24,24
AveragePlayer,500,0.5,0.9,Straight flush,275,124,24,24,0,0,0,0,0,0
AveragePlayer,500,0.9,0.1,High card,149,99,49,49,49,0,0,0,0,0
AveragePlayer,500,0.9,0.1,High card,290,240,190,140,90,40,15,15,15,15
AveragePlayer,500,0.9,0.1,High card,275,225,175,125,75,25,0,0,0,0
AveragePlayer,500,0.9,0.1,One pair,275,123,73,23,23,23,23,23,23,23
AveragePlayer,500,0.9,0.1,One pair,1415,1205,2161,2693,3299,3349,3374,3399,3474,3549
AveragePlayer,500,0.9,0.1,One pair,1514,2797,2872,2947,3022,3076,3383,3458,3483,3533
AveragePlayer,500,0.9,0.1,Two pair,275,225,175,125,75,25,25,0,0,0
AveragePlayer,500,0.9,0.1,Two pair,290,965,755,122,72,22,22,22,0,0
AveragePlayer,500,0.9,0.1,Two pair,290,1088,938,1615,2053,2938,3620,3695,3730,3776
AveragePlayer,500,0.9,0.1,Three-of-a-Kind,1275,2766,2841,2916,2991,3066,3141,3216,3252,3327
AveragePlayer,500,0.9,0.1,Three-of-a-Kind,215,65,15,15,15,15,15,15,15,15
AveragePlayer,500,0.9,0.1,Three-of-a-Kind,152,102,52,2,2,2,2,0,0,0
AveragePlayer,500,0.9,0.1,Straight,1275,2484,2559,3359,3434,3508,3558,3608,3683,3758
AveragePlayer,500,0.9,0.1,Straight,290,28,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.1,Straight,290,62,37,37,37,37,12,12,12,12
AveragePlayer,500,0.9,0.1,Flush,360,1297,2350,2920,3308,3383,3458,3483,3558,3586
AveragePlayer,500,0.9,0.1,Flush,450,400,350,300,230,180,110,110,60,10
AveragePlayer,500,0.9,0.1,Flush,360,169,119,69,19,0,0,0,0,0
AveragePlayer,500,0.9,0.1,Full house,400,190,40,40,40,40,40,40,0,0
AveragePlayer,500,0.9,0.1,Full house,290,132,82,32,32,32,32,32,7,7
AveragePlayer,500,0.9,0.1,Full house,403,1153,221,171,121,71,46,0,0,0
AveragePlayer,500,0.9,0.1,Four-of-a-Kind,450,300,90,40,40,40,40,0,0,0
AveragePlayer,500,0.9,0.1,Four-of-a-Kind,383,333,102,52,2,2,0,0,0,0
AveragePlayer,500,0.9,0.1,Four-of-a-Kind,275,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.1,Straight flush,275,125,25,25,25,25,25,0,0,0
AveragePlayer,500,0.9,0.1,Straight flush,350,163,163,113,63,13,13,13,13,13
AveragePlayer,500,0.9,0.1,Straight flush,350,155,105,55,5,0,0,0,0,0
AveragePlayer,500,0.9,0.5,High card,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,High card,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,High card,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
